Embalse,Agua embalsada (08-04-2024):hm3,Variacion semana Anterior:hm3,Capacidad:hm3,Misma Semana (2023):hm3,Misma Semana (Med. 10 Años):hm3,Cuenca:,Provincia:,Municipio Presa:,Rio:,Tipo de Presa:,Año de construccion (Final):,Superficie:,Localizacion:,Abastecimiento:,Riego:,Electricidad:,Industrial:,Pesca:,Navegación:,Baño:,Pic-nic:,Restaurantes:,Pluviometros,Longitud,Latitud
alfilorios,6,0,8,6,7,Cantabrico Occidental,Asturias,RIBERA DE ARRIBA,BARREA,Materiales sueltos núcleo arcilla,1990,52.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Gijón', 'Asturias Aeropuerto', 'Pola de Lena', 'Mieres', 'Oviedo']",-5.916266,43.291795
alsa-mediajo,20,0,22,20,21,Cantabrico Occidental,Cantabria,SAN MIGUEL DE AGUAYO,TORINA,Gravedad,1921,183.47 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Villacarriedo', 'Bárcena Mayor', 'San Felices de Buelna', 'Reinosa', 'Santa Gadea de Alfoz']",-4.001856,43.083684
arbon,38,1,41,37,36,Cantabrico Occidental,Asturias,"COAÑA, VILLAYON",NAVIA,Materiales sueltos núcleo arcilla,1967,270.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cabo Busto', 'Villayón', 'Castropol', 'Taramundi', 'Ribadeo']",-6.723901,43.463526
doiras,83,-1,97,84,89,Cantabrico Occidental,Asturias,BOAL,NAVIA,Gravedad,1934,347.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cabo Busto', 'Villayón', 'Castropol', 'Taramundi', 'Ribadeo']",-6.83237,43.376559
la-barca,25,6,34,19,22,Cantabrico Occidental,Asturias,TINEO Y BELMONTE,NARCEA,Bóveda,1966,194.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Tineo, Soto de la Barca', 'Pola de Somiedo', 'Salas', 'Cabo Busto', 'Villayón']",-6.361889,43.289756
la-cohilla,7,0,12,8,7,Cantabrico Occidental,Cantabria,TUDANCA,NANSA,Bóveda,1950,450.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bárcena Mayor', 'Cillórigo de Liébana', 'Tresviso', 'Reinosa', 'Alto Campoo']",-4.39436,43.127408
rioseco,3,0,4,4,2,Cantabrico Occidental,Asturias,SOBRESCOBIO,NALON,Gravedad,1978,55.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Piloña', 'Colunga', 'Gijón, Campus', 'Aller', 'Puerto de San Isidro']",-5.4627854139464,43.227286960833
salime,218,16,238,181,206,Cantabrico Occidental,Asturias,GRANDAS DE SALIME,NAVIA,Gravedad,1956,685.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ibias', 'Villayón', 'Castropol', 'Taramundi', 'Ribadeo']",-6.854857,43.202548
tanes,29,1,34,27,30,Cantabrico Occidental,Asturias,"CASO, SOBRESCOBIO",NALON,Gravedad,1978,63.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Amieva, Panizales', 'Piloña', 'Colunga', 'Aller', 'Puerto de San Isidro']",-5.402377,43.203565
corrales-de-buelna,0,0,0,0,0,Cantabrico Occidental,Cantabria,LOS CORRALES DE BUELNA,BESAYA,Gravedad,1955,24.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Villacarriedo', 'Bárcena Mayor', 'San Felices de Buelna', 'Torrelavega', 'Santillana del Mar']",-4.0557789311698,43.203909251935
el-furacon,0,0,1,0,0,Cantabrico Occidental,Asturias,OVIEDO,NALON,Gravedad,1952,20.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Asturias Aeropuerto', 'Pola de Lena', 'Mieres', 'Oviedo', 'Salas']",-5.9621704501737,43.368503928101
el-juncal,0,0,2,0,0,Cantabrico Occidental,Cantabria,GURIEZO,CHIRLIA,Materiales sueltos núcleo arcilla,1930,17.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Balmaseda', 'Sopuerta', 'Castro Urdiales', 'Ramales de la Victoria', 'Barcena de Cicero']",-3.3175057956554,43.307391881957
la-florida,0,0,1,0,0,Cantabrico Occidental,Asturias,TINEO,NARCEA,Gravedad,1952,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Tineo, Soto de la Barca', 'Pola de Somiedo', 'Salas', 'Cabo Busto', 'Villayón']",-6.4129988846656,43.290633884012
la-granda,0,0,3,0,0,Cantabrico Occidental,Asturias,GOZON,GRANDA,Materiales sueltos homogenea,1956,62.50 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Gijón, Campus', 'Gijón', 'Cabo Peñas', 'Asturias Aeropuerto', 'Oviedo']",-5.855305315892,43.56300381973
la-jocica,0,0,1,0,0,Cantabrico Occidental,Asturias,AMIEVA,DOBRA,Bóveda,1964,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Fuente De', 'Picos de Europa', 'Posada de Valdeón', 'Cabrales', 'Amieva, Panizales']",-5.0243690922875,43.207075413012
lastra---la-nansa,0,0,0,0,0,Cantabrico Occidental,Cantabria,TUDANCA,NANSA,Gravedad,1955,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bárcena Mayor', 'San Vicente de la Barquera', 'Cillórigo de Liébana', 'Reinosa', 'Alto Campoo']",-4.3770647048950195,43.148992241523814
matahoz,0,0,23,0,0,Cantabrico Occidental,Cantabria,SAN MIGUEL DE AGUAYO,AYO. PUNTEDAS,Materiales sueltos P asfáltica,1981,183.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Villacarriedo', 'Bárcena Mayor', 'San Felices de Buelna', 'Reinosa', 'Santa Gadea de Alfoz']",-4.0103268069776,43.075101167554
mediajo,0,0,10,0,0,Cantabrico Occidental,Cantabria,SAN MIGUEL DE AGUAYO,SIN RIO,Materiales sueltos P asfáltica,1981,40.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Villacarriedo', 'Bárcena Mayor', 'San Felices de Buelna', 'Reinosa', 'Santa Gadea de Alfoz']",-4.0189865065332,43.093619414913
palombera,0,0,2,0,0,Cantabrico Occidental,Cantabria,HERRERIAS,NANSA,Gravedad,1953,18.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bárcena Mayor', 'San Vicente de la Barquera', 'Cillórigo de Liébana', 'Tresviso', 'Alto Campoo']",-4.4492454067252,43.289646192223
prianes,0,0,2,0,0,Cantabrico Occidental,Asturias,"REGUERAS, LAS, ASTURIAS",NORA,Gravedad,1953,35.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Gijón', 'Asturias Aeropuerto', 'Mieres', 'Oviedo', 'Salas']",-5.9676933565582,43.380515752768
saliencia,0,0,0,0,0,Cantabrico Occidental,Asturias,SOMIEDO,SALIENCIA,Gravedad,1960,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Tineo, Soto de la Barca', 'Pola de Somiedo', 'Degaña', 'Villablino', 'Puerto de Leitariegos']",-6.250287294387817,43.11775245701172
san-andres-tacones,0,0,4,0,0,Cantabrico Occidental,Asturias,GIJON,ABOÑO,Materiales sueltos P asfáltica,1970,54.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Gijón, Campus', 'Gijón', 'Cabo Peñas', 'Mieres', 'Oviedo']",-5.755934715270996,43.503055960158655
somiedo,0,0,6,0,1,Cantabrico Occidental,Asturias,SOMIEDO,SOMIEDO,Gravedad,1960,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Tineo, Soto de la Barca', 'Pola de Somiedo', 'Degaña', 'Villablino', 'Puerto de Leitariegos']",-6.253324,43.116554
trasona,0,0,4,0,0,Cantabrico Occidental,Asturias,CORVERA DE ASTURIAS,ALVARES,Gravedad,1957,61.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Gijón, Campus', 'Gijón', 'Cabo Peñas', 'Asturias Aeropuerto', 'Oviedo']",-5.8741082490525,43.541823941875
valdemurio,0,0,1,0,0,Cantabrico Occidental,Asturias,QUIROS,QUIROS,Gravedad,1967,22.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Pola de Lena', 'Mieres', 'Oviedo', 'Pola de Somiedo', 'Salas']",-6.019177436828613,43.199185156918205
valduno,0,0,0,0,0,Cantabrico Occidental,Asturias,"REGUERAS, LAS",NALON,Gravedad,2000,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cabo Peñas', 'Asturias Aeropuerto', 'Mieres', 'Oviedo', 'Salas']",-6.0065494130376,43.394700101115
anarbe,32,-1,38,30,32,Cantabrico Oriental,Navarra,ARANO,AÑARBE,Gravedad,1976,201.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bera', 'Irún', 'San Sebastián Aeropuerto', 'Renteria', 'Areso']",-1.873544,43.225763
ibiur,8,0,8,5,7,Cantabrico Oriental,Guipuzcoa,"IKAZTEGIETA,BALIARRAIN,ORENDAIN Y ABALTZISKETA",IBIUR,Gravedad,2008,37.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Segura - Lastala', 'Beasain', 'Ordizia', 'Areso', 'Azpeitia']",-2.1258544921875,43.0819284373621
ordunte,22,0,22,21,21,Cantabrico Oriental,Burgos,VALLE DE MENA,ORDUNTE,Gravedad,1934,139.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Balmaseda', 'Güeñes', 'Sopuerta', 'Castro Urdiales', 'Ramales de la Victoria']",-3.295823,43.151716
san-anton,5,0,5,5,5,Cantabrico Oriental,Navarra,LESAKA,ENDARA,Materiales sueltos P hormigón,1988,16.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bera', 'Irún', 'San Sebastián Aeropuerto', 'Renteria', 'Areso']",-1.768333,43.277778
arceniega,0,0,1,0,0,Cantabrico Oriental,Burgos,VALLE DE MENA,ARCENIEGA,Materiales sueltos homogenea,1990,8.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Amurrio', 'Balmaseda', 'Güeñes', 'Sopuerta', 'Lalastra']",-3.1735415067812,43.109236021248
arcocha,0,0,0,0,0,Cantabrico Oriental,Vizcaya,ZARATAMO,CHARROTA,Gravedad,1963,0.20 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Forua', 'Punta Galea', 'Orozko', 'Amorebieta', 'Bilbao Aeropuerto']",-2.8609821506988,43.223284271091
arriaran,0,0,3,0,0,Cantabrico Oriental,Guipuzcoa,BEASAIN,ARRIARAN (ORIA),Gravedad,1993,18.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Segura - Lastala', 'Beasain', 'Ordizia', 'Legazpia', 'Zumarraga']",-2.2384525698234,43.072074562975
artiba,0,0,0,0,0,Cantabrico Oriental,Vizcaya,BARAKALDO,ARROYO ARTIBA,Gravedad,1965,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Punta Galea', 'Orozko', 'Güeñes', 'Bilbao Aeropuerto', 'Sopuerta']",-2.9710641997503,43.222014365496
artikutza,0,0,2,0,0,Cantabrico Oriental,Navarra,GOIZUETA,ENOBIETA,Gravedad,1962,17.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bera', 'Irún', 'San Sebastián Aeropuerto', 'Renteria', 'Areso']",-1.7847713227493,43.218534823496
domico,0,0,0,0,0,Cantabrico Oriental,Navarra,LESAKA,ENDARA,Materiales sueltos P hormigón,1958,4.38 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bera', 'Irún', 'San Sebastián Aeropuerto', 'Renteria', 'Areso']",-1.7644122207329,43.251183462003
lareo,0,0,2,0,0,Cantabrico Oriental,Guipuzcoa,ATAUN,AGAUNTZA,Materiales sueltos P hormigón,1988,20.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Legazpia', 'Zumarraga', 'Aramaio', 'Aretxabaleta', 'Elgeta']",-2.4375214296058,43.022528128193
lekubaso,0,0,0,0,0,Cantabrico Oriental,Vizcaya,GALDAKAO,LECUBASO (LEKUBASO),Gravedad,1957,1.22 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Forua', 'Amurrio', 'Orozko', 'Amorebieta', 'Bilbao Aeropuerto']",-2.8383998350299,43.195159756556
leurtza-inferior,0,0,1,0,0,Cantabrico Oriental,Navarra,URROTZ,REGATA LEURZA,Gravedad,1920,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Baztan, Irurita', 'Bera', 'Renteria', 'Esteribar, Eugui', 'Irurtzun']",-1.7121060365382,43.073214160857
leurtza-superior,0,0,1,0,0,Cantabrico Oriental,Navarra,URROTZ,REGATA LEURZA,Gravedad,1920,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Baztan, Irurita', 'Renteria', 'Areso', 'Esteribar, Eugui', 'Irurtzun']",-1.717102622871,43.069218122399
llodio,0,0,0,0,0,Cantabrico Oriental,Alava,LLODIO,OLARTE,Materiales sueltos homogenea,1972,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Amurrio', 'Orozko', 'Güeñes', 'Bilbao Aeropuerto', 'Sopuerta']",-2.980985641479492,43.100982876188546
marono,0,0,2,0,0,Cantabrico Oriental,Alava,AYALA,IZORIA,Gravedad,1990,27.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Amurrio', 'Orozko', 'Balmaseda', 'Güeñes', 'Lalastra']",-3.0577086147985,43.048929746096
mendaur,0,0,0,0,0,Cantabrico Oriental,Navarra,ITUREN,ARMAURRI,Gravedad,1955,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Baztan, Irurita', 'Bera', 'Irún', 'San Sebastián Aeropuerto', 'Renteria']",-1.7282914516724,43.151736632531
nocedal,0,0,0,0,0,Cantabrico Oriental,Vizcaya,GUEÑES,NOCEDAL,Gravedad,1964,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Punta Galea', 'Orozko', 'Güeñes', 'Bilbao Aeropuerto', 'Sopuerta']",-3.0049246848523,43.215084264879
undurraga,0,0,2,0,0,Cantabrico Oriental,Vizcaya,CEANURI,ARRATIA,Materiales sueltos P hormigón,1973,15.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Aramaio', 'Orozko', 'Abadiño', 'Amorebieta', 'Bilbao Aeropuerto']",-2.7432099262215,43.089898991532
zollo,0,0,0,0,0,Cantabrico Oriental,Vizcaya,ARRANKUDIAGA,CRUCETA,Gravedad,1924,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Punta Galea', 'Amurrio', 'Orozko', 'Güeñes', 'Bilbao Aeropuerto']",-2.9569240316435,43.193734962145
boadella,7,0,61,18,43,Cataluña Interna,Girona,DARNIUS,MUGA,Gravedad,1969,363.30 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Porqueres', ""Castelló d'Empúries"", 'Maçanet de Cabrenys', 'Espolla', 'Figueres']",2.818326,42.349585
